timestamps,property_id,latitude,longitude,bedroom_number,bathroom_number,price_per_unit,living_space,land_space,broker_id,year_build,total_num_units,listing_age,agent_name,agent_phone,is_owned_by_zillow,pred_price
2025-05-27 10:57:01.936175000,2064303242,41.295208,-89.50938,3.0,1.0,144.0,884.0,2.0,,,,-1,,,0,144422.99
2025-05-27 12:54:57.459377911,232037913,33.659485,-93.59025,,0.0,,,0.489,,,,-1,,,0,110421.0
2025-05-27 14:52:52.982580823,18024057,33.84054,-116.54445,2.0,2.0,364.0,902.0,,,,,-1,,,0,372280.0
2025-05-27 16:50:48.505783735,2073574493,36.27937,-91.3825,2.0,2.0,78.0,1650.0,0.52,,,,-1,,,0,122077.5
2025-05-27 18:48:44.028986646,2077333399,39.766674,-89.69197,,,,,1.0,,,,-1,,,0,232225.0
2025-05-27 20:46:39.552189558,84867944,37.73179,-88.938995,3.0,2.0,43.0,1152.0,0.2927,,,,-1,,,0,49923.0
2025-05-27 22:44:35.075392470,2065799295,,,4.0,3.0,229.0,2698.0,3920.4,,,,-1,,,0,613819.23
2025-05-28 00:42:30.598595382,2071244652,34.472816,-117.50645,,,,,7.5,,,,-1,,,0,345761.0
2025-05-28 02:40:26.121798293,84377987,30.052256,-97.40297,1.0,1.0,415.0,600.0,2.0,,,,-1,,,0,298672.0
2025-05-28 04:38:21.645001205,2067456000,29.639032,-95.7667,4.0,2.0,184.0,1720.0,,,,,-1,,,0,322176.35
2025-05-28 06:36:17.168204117,2119871262,30.258743,-91.87787,,,,,0.2938,,,,-1,,,0,162896.94
2025-05-28 08:34:12.691407029,159306837,41.61318,-87.69219,,,,,0.26,,,,-1,,,0,56718.98
2025-05-28 10:32:08.214609940,295598758,38.022064,-105.92941,,,,,40.0,,,,-1,,,0,116793.85
2025-05-28 12:30:03.737812852,27626548,29.605494,-95.496796,3.0,2.0,74.0,1312.0,2027.0,,,,-1,,,0,126445.05
2025-05-28 14:27:59.261015764,2064179483,43.658005,-116.38108,4.0,3.0,330.0,2553.0,8102.16,,,,-1,,,0,841309.23
2025-05-28 16:25:54.784218676,2064172489,38.8365,-94.461655,4.0,3.0,220.0,2154.0,,,,,-1,,,0,476304.17
2025-05-28 18:23:50.307421587,66857984,36.106136,-115.31223,3.0,2.0,219.0,1482.0,,,,,-1,,,0,329939.62
2025-05-28 20:21:45.830624499,2066443781,38.170574,-92.64236,,,,,0.2996,,,,-1,,,0,30852.46
2025-05-28 22:19:41.353827411,295365990,32.61544,-117.058815,,0.0,,,7840.8,,,,-1,,,0,1117879.75
2025-05-29 00:17:36.877030323,111914807,32.14327,-110.971634,3.0,2.0,125.0,1272.0,5009.0,,,,-1,,,0,181143.89
2025-05-29 02:15:32.400233234,2103287249,,,,,,,0.2904,,,,-1,,,0,120381.12
2025-05-29 04:13:27.923436146,82484390,21.30795,-157.78358,6.0,6.0,904.0,6632.0,8.7844,,,,-1,,,0,5843040.0
2025-05-29 06:11:23.446639058,3737062,41.92396,-87.644936,3.0,2.0,,0.0,,,,,-1,,,0,564016.0
2025-05-29 08:09:18.969841969,17740914,33.787457,-116.5365,5.0,4.0,918.0,4275.0,0.32,,,,-1,,,0,4075566.26
2025-05-29 10:07:14.493044881,70602276,36.459618,-94.33165,,,,,0.33,,,,-1,,,0,64375.79
2025-05-29 12:05:10.016247793,28724631,30.350538,-95.54286,3.0,2.0,158.0,2025.0,8775.0,,,,-1,,,0,323441.44
2025-05-29 14:03:05.539450705,79567812,34.126713,-116.157074,4.0,2.0,267.0,1891.0,0.4224,,,,-1,,,0,511047.32
2025-05-29 16:01:01.062653616,2070238575,,,,,,,40.0,,,,-1,,,0,353464.0
2025-05-29 17:58:56.585856528,2066672784,33.514614,-96.47128,,,,,13.31,,,,-1,,,0,236081.66
2025-05-29 19:56:52.109059440,28917346,,,,0.0,,,13.68,,,,-1,,,0,203487.97
2025-05-29 21:54:47.632262352,26510035,28.947098,-95.348564,2.0,1.0,71.0,2812.0,9352.0,,,,-1,,,0,192324.99
2025-05-29 23:52:43.155465263,68901693,37.336662,-113.690094,2.0,2.0,584.0,924.0,5.86,,,,-1,,,0,589491.0
2025-05-30 01:50:38.678668175,2065917455,38.375954,-90.6277,3.0,2.0,235.0,1190.0,,,,,-1,,,0,282818.33
2025-05-30 03:48:34.201871087,27675768,29.401505,-94.91719,4.0,3.0,93.0,3369.0,8999.496,,,,-1,,,0,356981.0
2025-05-30 05:46:29.725073999,2066628726,39.012035,-94.20282,4.0,3.0,181.0,2036.0,,,,,-1,,,0,372490.76
2025-05-30 07:44:25.248276910,5468206,41.55037,-88.09297,5.0,3.0,,,7405.2,,,,-1,,,0,266238.81
2025-05-30 09:42:20.771479822,82386391,33.38118,-112.593346,3.0,2.0,251.0,1668.0,6098.4,,,,-1,,,0,417439.65
2025-05-30 11:40:16.294682734,112317321,33.10304,-96.090195,3.0,2.0,165.0,1812.0,6011.28,,,,-1,,,0,305426.69
2025-05-30 13:38:11.817885646,21332945,33.847965,-118.35187,3.0,2.0,706.0,1764.0,6046.128,,,,-1,,,0,1208197.0
2025-05-30 15:36:07.341088557,2077203190,38.638557,-88.96777,,,,,5.15,,,,-1,,,0,111044.9
2025-05-30 17:34:02.864291469,2067670222,40.50486,-104.8681,3.0,2.0,252.0,2113.0,,,,,-1,,,0,528894.34
2025-05-30 19:31:58.387494381,26700662,32.806446,-96.73793,3.0,3.0,375.0,2199.0,7143.84,,,,-1,,,0,802834.62
2025-05-30 21:29:53.910697293,243333727,30.526398,-97.53475,3.0,2.0,243.0,1641.0,7884.36,,,,-1,,,0,406750.35
2025-05-30 23:27:49.433900204,61084428,39.51673,-104.95515,5.0,5.0,194.0,6156.0,9017.0,,,,-1,,,0,1172040.74
2025-05-31 01:25:44.957103116,2066489143,,,3.0,2.0,298.0,1640.0,7841.0,,,,-1,,,0,486138.28
2025-05-31 03:23:40.480306028,194649376,42.47513,-111.369095,1.0,1.0,250.0,500.0,4791.6,,,,-1,,,0,158303.0
2025-05-31 05:21:36.003508939,54625442,37.9316,-121.74284,5.0,5.0,350.0,3708.0,8276.4,,,,-1,,,0,1322392.0
2025-05-31 07:19:31.526711851,2078447599,36.01843,-115.3121,4.0,3.0,272.0,1910.0,,,,,-1,,,0,589101.72
2025-05-31 09:17:27.049914763,2066584841,36.54292,-91.272766,3.0,2.0,480.0,1560.0,250.0,,,,-1,,,0,713351.55
2025-05-31 11:15:22.573117675,75506471,39.85355,-89.655495,3.0,2.0,108.0,1432.0,6050.0,,,,-1,,,0,146467.0
2025-05-31 13:13:18.096320586,109868416,36.583527,-89.975685,3.0,1.0,82.0,1084.0,0.27,,,,-1,,,0,86625.0
2025-05-31 15:11:13.619523498,2065965589,31.033085,-94.74808,,0.0,,,145.0,,,,-1,,,0,549683.46
