timestamps,property_id,latitude,longitude,bedroom_number,bathroom_number,price_per_unit,living_space,land_space,broker_id,year_build,total_num_units,listing_age,agent_name,agent_phone,is_owned_by_zillow,pred_price
2025-05-27 10:57:01.936175000,2072294081,29.561485,-98.18946,3.0,3.0,160.0,1749.0,6969.6,,,,-1,,,0,289089.19
2025-05-27 11:10:07.470067312,318513628,29.864063,-89.859184,,,,,,,,,-1,,,0,92426.98
2025-05-27 11:23:13.003959624,2066385201,37.483185,-121.92859,3.0,4.0,633.0,2242.0,,,,,-1,,,0,1610419.29
2025-05-27 11:36:18.537851937,121657473,30.270212,-97.687935,3.0,3.0,400.0,1750.0,8232.84,,,,-1,,,0,696610.79
2025-05-27 11:49:24.071744249,2065694996,42.13578,-98.042534,2.0,2.0,63.0,3340.0,0.8485,,,,-1,,,0,191730.89
2025-05-27 12:02:29.605636561,2079512668,,,,,,,116.0,,,,-1,,,0,2430441.05
2025-05-27 12:15:35.139528874,17973477,33.763042,-116.99368,2.0,2.0,243.0,1294.0,,,,,-1,,,0,389928.65
2025-05-27 12:28:40.673421186,8079734,33.74026,-111.68274,4.0,3.0,384.0,2859.0,0.395,,,,-1,,,0,1176432.05
2025-05-27 12:41:46.207313498,2071785587,35.598213,-94.370575,,,,,13.0,,,,-1,,,0,242938.03
2025-05-27 12:54:51.741205811,2068363635,,,4.0,4.0,255.0,2538.0,7405.2,,,,-1,,,0,618589.24
2025-05-27 13:07:57.275098123,2067249594,32.71184,-117.05602,,,,,,,,,-1,,,0,621205.28
2025-05-27 13:21:02.808990435,121531258,37.62132,-93.42153,4.0,3.0,139.0,2148.0,9147.6,,,,-1,,,0,307224.95
2025-05-27 13:34:08.342882748,217494299,31.36935,-94.75441,,,,,0.605,,,,-1,,,0,139266.74
2025-05-27 13:47:13.876775060,2068546551,45.43597,-123.14933,,,,,3.26,,,,-1,,,0,254312.77
2025-05-27 14:00:19.410667372,2077939204,33.77963,-111.90472,3.0,4.0,554.0,3600.0,10454.4,,,,-1,,,0,2274262.79
2025-05-27 14:13:24.944559685,2065707924,,,,,,,30.0,,,,-1,,,0,259003.48
2025-05-27 14:26:30.478451997,2065690057,30.161194,-94.73816,,0.0,,,70.77,,,,-1,,,0,583739.1
2025-05-27 14:39:36.012344310,105986171,30.215866,-92.36012,3.0,2.0,88.0,1750.0,8999.496,,,,-1,,,0,168976.86
2025-05-27 14:52:41.546236622,147223929,35.52088,-120.70189,2.0,2.0,163.0,920.0,2000.0,,,,-1,,,0,459343.33
2025-05-27 15:05:47.080128934,61945455,47.32633,-119.55566,4.0,1.0,126.0,2370.0,1.717,,,,-1,,,0,447350.99
2025-05-27 15:18:52.614021247,331799264,40.689842,-111.54931,0.0,1.0,1310.0,351.0,,,,,-1,,,0,1344217.28
2025-05-27 15:31:58.147913559,89037180,41.900993,-122.446526,3.0,2.0,2.0,108000.0,2.4793,,,,-1,,,0,1240223.0
2025-05-27 15:45:03.681805871,8318053,33.63918,-112.43642,2.0,1.0,348.0,617.0,1960.2,,,,-1,,,0,321755.0
2025-05-27 15:58:09.215698184,194858011,37.600605,-90.62928,5.0,2.0,61.0,2867.0,0.3306,,,,-1,,,0,189557.9
2025-05-27 16:11:14.749590496,2079317134,38.78272,-109.63856,3.0,3.0,762.0,1692.0,10.0,,,,-1,,,0,1239937.81
2025-05-27 16:24:20.283482808,2098830005,40.060497,-111.65883,8.0,4.0,206.0,3628.0,0.3,,,,-1,,,0,663271.68
2025-05-27 16:37:25.817375121,2078369400,30.394238,-90.05408,,,,,,,,,-1,,,0,89860.39
2025-05-27 16:50:31.351267433,2076774378,33.241055,-96.64969,4.0,3.0,300.0,2400.0,,,,,-1,,,0,711758.86
2025-05-27 17:03:36.885159745,193857853,28.972973,-98.504875,3.0,2.0,223.0,1560.0,1.5,,,,-1,,,0,368808.59
2025-05-27 17:16:42.419052058,103705647,38.727985,-90.71409,6.0,5.0,154.0,5178.0,0.44,,,,-1,,,0,698966.3
2025-05-27 17:29:47.952944370,58525843,32.90458,-97.212364,4.0,3.0,227.0,2748.0,9670.32,,,,-1,,,0,619431.99
2025-05-27 17:42:53.486836682,24977377,37.637325,-122.10944,3.0,2.0,815.0,1163.0,5662.8,,,,-1,,,0,982504.45
2025-05-27 17:55:59.020728995,6594205,40.76283,-96.67755,3.0,2.0,149.0,1602.0,7840.8,,,,-1,,,0,249453.91
2025-05-27 18:09:04.554621307,308896083,33.843185,-96.82277,,,,,0.344,,,,-1,,,0,83874.99
2025-05-27 18:22:10.088513620,2090858859,32.442356,-94.011314,,,,,1.07,,,,-1,,,0,1236117.69
2025-05-27 18:35:15.622405932,8345331,34.545883,-114.3568,3.0,2.0,318.0,1711.0,0.32,,,,-1,,,0,530916.64
2025-05-27 18:48:21.156298244,236551365,38.157932,-92.374664,3.0,2.0,175.0,1566.0,8.5,,,,-1,,,0,237780.9
2025-05-27 19:01:26.690190557,16770700,32.949596,-117.22202,5.0,4.0,680.0,2938.0,6553.0,,,,-1,,,0,2133992.53
2025-05-27 19:14:32.224082869,2067877056,37.993137,-121.71919,4.0,3.0,410.0,2009.0,,,,,-1,,,0,809338.53
